 ,228843
?,119
ఁ,2
ం,70800
ః,1
అ,15421
ఆ,5586
ఇ,6233
ఈ,1429
ఉ,7742
ఊ,1001
ఋ,113
ఎ,8749
ఏ,2513
ఐ,817
ఒ,2420
ఓ,333
ఔ,28
క,78537
ఖ,1583
గ,25574
ఘ,84
చ,31273
ఛ,127
జ,8283
ఝ,1
ఞ,15
ట,47969
ఠ,60
డ,36191
ఢ,18
ణ,2610
త,51668
థ,2842
ద,36374
ధ,4928
న,90119
ప,53409
ఫ,3668
బ,19335
భ,4155
మ,38234
య,33653
ర,68030
ఱ,13
ల,79103
ళ,4999
వ,45286
శ,4404
ష,4765
స,45348
హ,2313
ా,111292
ి,105961
ీ,15903
ు,119452
ూ,9220
ృ,665
ె,24000
ే,42322
ై,6517
ొ,11344
ో,31508
ౌ,1426
్,143961
ౖ,17
